leader: 10.0.0.5:6001 (probe applied 1 command)
  batch=1 total=1957.8us LHandler=72.7 LPersist=482.1 AENet=209.1 FHandler=7.0 ReplNet=443.2 StorageIO=338.2 QuorumWait=391.9 Mutex=1.5 CommitWait=1242.3
  batch=1 total=2067.4us LHandler=72.4 LPersist=563.9 AENet=276.0 FHandler=7.1 ReplNet=379.9 StorageIO=327.4 QuorumWait=406.3 Mutex=1.8 CommitWait=1251.3
  batch=1 total=2063.9us LHandler=72.2 LPersist=546.3 AENet=231.7 FHandler=7.0 ReplNet=457.8 StorageIO=351.3 QuorumWait=385.3 Mutex=1.2 CommitWait=1320.4
  batch=1 total=2078.6us LHandler=76.2 LPersist=592.0 AENet=187.1 FHandler=7.0 ReplNet=453.3 StorageIO=384.7 QuorumWait=345.1 Mutex=1.3 CommitWait=1240.7
  batch=1 total=1750.6us LHandler=74.1 LPersist=500.9 AENet=290.4 FHandler=7.0 ReplNet=286.4 StorageIO=320.1 QuorumWait=260.0 Mutex=1.5 CommitWait=1045.2
  batch=1 total=1684.0us LHandler=74.4 LPersist=481.2 AENet=190.9 FHandler=6.4 ReplNet=245.4 StorageIO=310.0 QuorumWait=361.1 Mutex=1.3 CommitWait=964.9
  batch=1 total=2102.0us LHandler=76.9 LPersist=577.4 AENet=278.5 FHandler=7.0 ReplNet=380.2 StorageIO=325.0 QuorumWait=442.2 Mutex=1.6 CommitWait=1302.9
  batch=1 total=1916.3us LHandler=79.8 LPersist=629.6 AENet=206.0 FHandler=10.7 ReplNet=404.7 StorageIO=393.9 QuorumWait=178.9 Mutex=1.6 CommitWait=1073.7
  batch=1 total=2027.4us LHandler=82.7 LPersist=537.6 AENet=274.0 FHandler=6.9 ReplNet=372.2 StorageIO=345.3 QuorumWait=396.1 Mutex=1.4 CommitWait=1318.0
  batch=1 total=1412.5us LHandler=59.2 LPersist=461.6 AENet=151.2 FHandler=6.7 ReplNet=234.6 StorageIO=304.0 QuorumWait=163.4 Mutex=1.3 CommitWait=778.3
  batch=1 total=1985.6us LHandler=72.5 LPersist=538.6 AENet=276.8 FHandler=4.5 ReplNet=339.0 StorageIO=357.5 QuorumWait=361.2 Mutex=1.2 CommitWait=1255.9
  batch=1 total=1873.5us LHandler=57.9 LPersist=569.9 AENet=147.0 FHandler=7.1 ReplNet=453.6 StorageIO=357.9 QuorumWait=246.7 Mutex=1.2 CommitWait=1100.0
  batch=1 total=1870.4us LHandler=58.0 LPersist=571.3 AENet=259.2 FHandler=6.2 ReplNet=341.5 StorageIO=301.9 QuorumWait=320.6 Mutex=1.4 CommitWait=1127.5
  batch=1 total=1954.4us LHandler=75.1 LPersist=628.7 AENet=202.8 FHandler=7.0 ReplNet=407.2 StorageIO=302.3 QuorumWait=316.7 Mutex=1.2 CommitWait=1100.5
  batch=1 total=1893.7us LHandler=74.6 LPersist=562.8 AENet=268.5 FHandler=7.1 ReplNet=387.9 StorageIO=326.7 QuorumWait=253.1 Mutex=1.8 CommitWait=1106.5
  batch=1 total=1822.0us LHandler=72.6 LPersist=588.1 AENet=201.8 FHandler=7.0 ReplNet=446.3 StorageIO=314.8 QuorumWait=158.2 Mutex=1.3 CommitWait=992.9
  batch=1 total=1803.6us LHandler=57.6 LPersist=525.7 AENet=207.2 FHandler=7.1 ReplNet=380.9 StorageIO=363.6 QuorumWait=228.9 Mutex=29.4 CommitWait=1107.9
  batch=1 total=1851.0us LHandler=57.0 LPersist=531.7 AENet=280.2 FHandler=7.0 ReplNet=364.0 StorageIO=312.2 QuorumWait=287.9 Mutex=1.4 CommitWait=1176.0
  batch=1 total=1979.5us LHandler=74.1 LPersist=673.7 AENet=196.0 FHandler=7.0 ReplNet=387.1 StorageIO=338.1 QuorumWait=292.1 Mutex=1.2 CommitWait=1069.9
  batch=1 total=2038.6us LHandler=76.8 LPersist=566.5 AENet=238.1 FHandler=36.0 ReplNet=408.5 StorageIO=377.1 QuorumWait=322.9 Mutex=1.4 CommitWait=1236.9
  batch=1 total=1992.5us LHandler=61.0 LPersist=527.1 AENet=203.8 FHandler=3.0 ReplNet=422.3 StorageIO=334.7 QuorumWait=426.8 Mutex=1.0 CommitWait=1249.2
  batch=1 total=1890.0us LHandler=72.7 LPersist=607.5 AENet=250.3 FHandler=6.5 ReplNet=220.8 StorageIO=314.1 QuorumWait=407.9 Mutex=1.6 CommitWait=1061.6
  batch=1 total=2054.7us LHandler=73.1 LPersist=510.9 AENet=193.3 FHandler=6.9 ReplNet=447.1 StorageIO=380.7 QuorumWait=431.4 Mutex=1.3 CommitWait=1346.0
  batch=1 total=1925.2us LHandler=76.0 LPersist=615.4 AENet=202.3 FHandler=7.0 ReplNet=441.3 StorageIO=373.6 QuorumWait=199.1 Mutex=1.6 CommitWait=1076.0
  batch=1 total=1797.8us LHandler=77.4 LPersist=565.8 AENet=159.7 FHandler=6.9 ReplNet=409.7 StorageIO=392.0 QuorumWait=152.9 Mutex=1.6 CommitWait=990.6
  batch=1 total=1960.9us LHandler=71.1 LPersist=498.4 AENet=276.3 FHandler=13.7 ReplNet=363.5 StorageIO=380.2 QuorumWait=344.2 Mutex=1.7 CommitWait=1261.3
  batch=1 total=2142.3us LHandler=76.8 LPersist=611.4 AENet=279.6 FHandler=7.0 ReplNet=455.5 StorageIO=396.6 QuorumWait=300.5 Mutex=1.5 CommitWait=1310.9
  batch=1 total=2242.5us LHandler=77.2 LPersist=665.7 AENet=174.3 FHandler=4.9 ReplNet=448.8 StorageIO=378.6 QuorumWait=481.2 Mutex=3.8 CommitWait=1351.6
  batch=1 total=1956.1us LHandler=75.1 LPersist=641.8 AENet=208.2 FHandler=7.1 ReplNet=384.4 StorageIO=332.3 QuorumWait=296.0 Mutex=1.5 CommitWait=1092.3
  batch=1 total=1835.0us LHandler=59.6 LPersist=534.9 AENet=195.6 FHandler=7.0 ReplNet=373.6 StorageIO=355.1 QuorumWait=265.8 Mutex=1.1 CommitWait=1039.6
  batch=1 total=1770.4us LHandler=72.8 LPersist=533.1 AENet=245.1 FHandler=7.0 ReplNet=325.1 StorageIO=333.5 QuorumWait=243.9 Mutex=1.5 CommitWait=1040.0
  batch=1 total=1917.7us LHandler=75.7 LPersist=626.4 AENet=119.1 FHandler=29.1 ReplNet=378.7 StorageIO=308.4 QuorumWait=343.2 Mutex=1.3 CommitWait=1049.9
  batch=1 total=1887.9us LHandler=104.7 LPersist=592.4 AENet=167.5 FHandler=7.0 ReplNet=349.9 StorageIO=332.5 QuorumWait=323.0 Mutex=1.4 CommitWait=1064.1
  batch=1 total=1954.3us LHandler=75.8 LPersist=648.4 AENet=211.0 FHandler=7.0 ReplNet=438.8 StorageIO=331.1 QuorumWait=230.2 Mutex=1.2 CommitWait=1088.4
  batch=1 total=2208.0us LHandler=74.7 LPersist=606.5 AENet=265.3 FHandler=7.1 ReplNet=415.2 StorageIO=369.8 QuorumWait=457.9 Mutex=1.7 CommitWait=1379.9
  batch=1 total=1875.8us LHandler=77.7 LPersist=564.5 AENet=161.8 FHandler=7.3 ReplNet=425.6 StorageIO=306.4 QuorumWait=320.3 Mutex=1.2 CommitWait=1091.7
  batch=1 total=1957.8us LHandler=73.2 LPersist=507.5 AENet=264.2 FHandler=7.0 ReplNet=367.3 StorageIO=337.5 QuorumWait=366.4 Mutex=1.4 CommitWait=1219.7
  batch=1 total=2123.2us LHandler=69.2 LPersist=607.5 AENet=207.5 FHandler=7.1 ReplNet=473.3 StorageIO=356.8 QuorumWait=388.7 Mutex=1.1 CommitWait=1327.4
  batch=1 total=2013.4us LHandler=77.6 LPersist=680.1 AENet=200.6 FHandler=7.0 ReplNet=431.1 StorageIO=326.1 QuorumWait=279.1 Mutex=1.4 CommitWait=1102.4
  batch=1 total=1913.3us LHandler=75.1 LPersist=567.2 AENet=270.3 FHandler=7.0 ReplNet=394.7 StorageIO=312.4 QuorumWait=274.0 Mutex=1.8 CommitWait=1128.9
  batch=1 total=1773.7us LHandler=77.4 LPersist=528.6 AENet=176.8 FHandler=7.4 ReplNet=388.3 StorageIO=312.7 QuorumWait=247.3 Mutex=1.6 CommitWait=1002.5
  batch=1 total=1659.5us LHandler=56.5 LPersist=469.9 AENet=222.8 FHandler=7.0 ReplNet=429.7 StorageIO=302.5 QuorumWait=138.3 Mutex=1.4 CommitWait=978.4
  batch=1 total=1809.6us LHandler=57.6 LPersist=531.4 AENet=192.9 FHandler=7.2 ReplNet=385.1 StorageIO=338.5 QuorumWait=286.7 Mutex=1.0 CommitWait=1140.7
  batch=1 total=2218.9us LHandler=75.7 LPersist=623.4 AENet=267.8 FHandler=7.0 ReplNet=400.0 StorageIO=381.3 QuorumWait=449.2 Mutex=1.8 CommitWait=1353.7
  batch=1 total=2067.3us LHandler=74.3 LPersist=558.9 AENet=267.3 FHandler=7.0 ReplNet=383.8 StorageIO=323.9 QuorumWait=440.3 Mutex=1.8 CommitWait=1293.6
  batch=1 total=1937.8us LHandler=75.8 LPersist=612.9 AENet=202.7 FHandler=6.9 ReplNet=422.4 StorageIO=334.0 QuorumWait=268.5 Mutex=1.2 CommitWait=1080.5
  batch=1 total=1915.2us LHandler=75.3 LPersist=619.9 AENet=197.5 FHandler=7.0 ReplNet=441.5 StorageIO=346.4 QuorumWait=179.6 Mutex=1.6 CommitWait=1032.3
  batch=1 total=1842.7us LHandler=71.9 LPersist=597.4 AENet=198.3 FHandler=7.1 ReplNet=356.3 StorageIO=328.4 QuorumWait=271.5 Mutex=1.2 CommitWait=1038.0
  batch=1 total=2185.2us LHandler=74.7 LPersist=614.9 AENet=266.3 FHandler=6.9 ReplNet=408.0 StorageIO=386.7 QuorumWait=394.0 Mutex=1.7 CommitWait=1301.2
  batch=1 total=1996.2us LHandler=82.6 LPersist=490.3 AENet=239.6 FHandler=7.1 ReplNet=448.0 StorageIO=370.4 QuorumWait=324.6 Mutex=1.2 CommitWait=1265.0
  batch=1 total=1797.8us LHandler=72.7 LPersist=592.3 AENet=230.6 FHandler=7.1 ReplNet=423.3 StorageIO=324.7 QuorumWait=118.0 Mutex=1.2 CommitWait=979.3
  batch=1 total=1694.0us LHandler=58.4 LPersist=494.8 AENet=202.3 FHandler=43.0 ReplNet=412.2 StorageIO=325.6 QuorumWait=124.6 Mutex=1.1 CommitWait=1027.3
  batch=1 total=1895.4us LHandler=79.0 LPersist=570.6 AENet=201.7 FHandler=3.5 ReplNet=273.1 StorageIO=339.4 QuorumWait=417.6 Mutex=1.4 CommitWait=1119.2
  batch=1 total=1887.5us LHandler=85.2 LPersist=636.6 AENet=176.1 FHandler=7.1 ReplNet=425.6 StorageIO=310.6 QuorumWait=235.6 Mutex=1.3 CommitWait=1021.2
  batch=1 total=2097.8us LHandler=77.9 LPersist=572.4 AENet=206.8 FHandler=33.4 ReplNet=302.3 StorageIO=443.3 QuorumWait=447.4 Mutex=1.7 CommitWait=1301.2
  batch=1 total=1824.0us LHandler=77.0 LPersist=539.2 AENet=212.5 FHandler=7.0 ReplNet=395.9 StorageIO=329.2 QuorumWait=249.4 Mutex=1.2 CommitWait=1058.0
  batch=1 total=1987.1us LHandler=76.9 LPersist=527.9 AENet=272.1 FHandler=7.1 ReplNet=358.9 StorageIO=365.6 QuorumWait=343.2 Mutex=1.5 CommitWait=1211.5
  batch=1 total=1802.8us LHandler=70.1 LPersist=593.7 AENet=164.5 FHandler=7.1 ReplNet=424.7 StorageIO=361.7 QuorumWait=169.5 Mutex=3.6 CommitWait=1001.9
  batch=1 total=1940.8us LHandler=73.5 LPersist=624.5 AENet=279.5 FHandler=7.2 ReplNet=354.0 StorageIO=360.3 QuorumWait=231.4 Mutex=1.1 CommitWait=1084.4
  batch=1 total=2009.9us LHandler=77.2 LPersist=514.5 AENet=217.5 FHandler=7.1 ReplNet=430.6 StorageIO=366.5 QuorumWait=367.5 Mutex=1.3 CommitWait=1228.9
  batch=1 total=1817.7us LHandler=73.8 LPersist=580.2 AENet=192.8 FHandler=6.5 ReplNet=253.0 StorageIO=320.9 QuorumWait=379.7 Mutex=1.5 CommitWait=1008.9
  batch=1 total=1750.3us LHandler=74.0 LPersist=522.9 AENet=238.7 FHandler=6.6 ReplNet=230.4 StorageIO=319.8 QuorumWait=313.7 Mutex=1.3 CommitWait=953.5
  batch=1 total=1822.8us LHandler=71.8 LPersist=592.0 AENet=190.9 FHandler=7.0 ReplNet=367.6 StorageIO=328.0 QuorumWait=254.6 Mutex=1.2 CommitWait=1020.9
  batch=1 total=2221.2us LHandler=95.8 LPersist=609.0 AENet=242.4 FHandler=7.0 ReplNet=413.6 StorageIO=366.4 QuorumWait=474.8 Mutex=1.6 CommitWait=1358.4
  batch=1 total=2083.9us LHandler=76.7 LPersist=557.0 AENet=233.6 FHandler=2.9 ReplNet=318.2 StorageIO=461.1 QuorumWait=419.9 Mutex=1.4 CommitWait=1286.1
  batch=1 total=1918.9us LHandler=76.5 LPersist=623.4 AENet=197.8 FHandler=7.0 ReplNet=424.7 StorageIO=324.9 QuorumWait=232.9 Mutex=1.4 CommitWait=1053.9
